face_label,face_encoding,matched_shots,count,matched_videos,vid_appearance_count
face_67,"[-9.96004120e-02  2.56329998e-02  8.96529257e-02 -4.21817377e-02
 -1.75346583e-02 -5.92985712e-02  2.31584162e-03 -1.59701668e-02
  1.42367050e-01 -2.28736866e-02  1.84972897e-01 -8.65488946e-02
 -2.51797557e-01 -5.55619001e-02 -1.60831958e-03  1.82660550e-01
 -8.01482946e-02 -1.50948673e-01 -7.81017542e-02 -8.71000588e-02
  5.52558228e-02  8.44328552e-02 -3.19184177e-02  7.88000822e-02
 -1.43215925e-01 -3.59757513e-01 -4.89625782e-02 -7.41676018e-02
 -6.90626949e-02 -9.53550786e-02 -3.28446925e-03  1.32333115e-01
 -1.25887081e-01 -9.11350101e-02  7.93678761e-02  1.06468923e-01
  2.59441808e-02 -3.05346921e-02  2.03091517e-01  7.76795149e-02
 -1.52859911e-01  5.82951754e-02  9.98757333e-02  3.71416748e-01
  1.01338401e-01  5.33732846e-02  3.91823426e-02 -2.53902972e-02
  9.31491703e-02 -3.03783745e-01  1.08055592e-01  1.19306326e-01
  1.09516747e-01  8.11084136e-02  9.43874270e-02 -1.10937595e-01
 -1.81512833e-02  1.48833334e-01 -2.32844025e-01  1.20164871e-01
  8.22195858e-02 -3.19758356e-02  1.31121445e-02 -1.02493346e-01
  2.33188793e-01  9.06048715e-02 -1.76598489e-01 -4.09109890e-03
  8.20196569e-02 -8.92868116e-02 -8.15512538e-02 -3.60502973e-02
 -1.32176727e-01 -1.43948495e-01 -3.30748379e-01  1.09583810e-01
  3.72015953e-01  1.08745366e-01 -2.32610166e-01 -1.09504908e-04
 -3.47460359e-02 -1.34680420e-03  4.97570485e-02  5.83539307e-02
 -6.59674183e-02  1.33034289e-02 -3.49463597e-02  4.58590388e-02
  1.91984698e-01  7.10288361e-02 -3.60082611e-02  2.18715593e-01
  2.47900710e-02  2.36426666e-02  2.31945235e-02  6.95413053e-02
 -8.58314112e-02 -7.98056573e-02 -1.78907901e-01  1.20201111e-02
 -4.69995290e-02 -3.69029790e-02  1.97889656e-02  1.11800030e-01
 -1.97458819e-01  1.63293570e-01  1.96683109e-02 -5.72456941e-02
 -5.38747087e-02  1.26025289e-01 -1.04452215e-01 -4.11441922e-02
  9.46479961e-02 -2.06708774e-01  1.21572115e-01  1.69453561e-01
  8.47506598e-02  1.25235811e-01  3.16682756e-02  2.06148699e-02
  5.84039092e-03  1.37472153e-03 -1.05848916e-01 -8.02262127e-02
  1.06815800e-01  3.55402380e-02  7.84257352e-02  8.53513777e-02]",['7291948461610536193.mp4_scene_3'],1,['7291948461610536193'],1
face_19,"[-1.25924096e-01  1.02412410e-01  7.05506355e-02 -1.18329376e-01
 -1.47254258e-01  3.54910642e-03  4.46597077e-02 -2.13559419e-02
  9.83805284e-02  2.69703716e-02  2.65288323e-01 -4.01399359e-02
 -3.27848732e-01 -8.78572017e-02  1.32324174e-02  1.03890508e-01
 -1.57319337e-01 -4.52484861e-02 -9.47223902e-02 -7.10869730e-02
 -5.97722828e-05 -5.55085205e-03 -2.90739462e-02  3.18889841e-02
 -1.61160380e-01 -2.68844604e-01 -5.17591499e-02 -8.70088935e-02
  1.45147378e-02 -1.28908560e-01  1.04653038e-01  1.19893804e-01
 -1.11489415e-01 -9.31187123e-02  7.76070431e-02  7.90145323e-02
 -7.05489367e-02 -7.50556588e-02  1.94755316e-01 -7.25717172e-02
 -1.16277210e-01 -1.64378285e-02  4.33546454e-02  3.06039542e-01
  1.04754224e-01  6.08802587e-03  1.04936481e-01 -1.14124328e-01
  1.37392163e-01 -2.31224731e-01  9.77601856e-02  1.37634516e-01
  1.23489484e-01  6.71401396e-02  4.64808494e-02 -1.13144107e-01
  5.96580207e-02  1.95625395e-01 -2.59899616e-01  6.58526421e-02
  1.15564570e-01 -7.84668028e-02 -8.73863101e-02 -1.32237732e-01
  1.98478147e-01  7.22878501e-02 -1.60602838e-01 -1.66483551e-01
  1.78681463e-01 -1.15330577e-01 -1.14882231e-01  1.13302588e-01
 -1.20093897e-01 -1.54575244e-01 -2.93881714e-01  5.94048053e-02
  3.68992567e-01  2.00849026e-01 -2.27827847e-01 -3.59392613e-02
 -1.35716811e-01 -1.28858462e-02  1.01944357e-02  7.28840083e-02
 -1.05956994e-01 -6.35570288e-03 -4.55728807e-02  3.27210873e-02
  1.95957273e-01 -1.04153156e-03 -7.69738406e-02  2.19317213e-01
  1.40120298e-01 -3.97941545e-02  3.74261215e-02 -3.65145430e-02
 -5.78425527e-02 -7.55686313e-02 -1.20393939e-01 -5.39869592e-02
  6.71769977e-02 -1.24611378e-01  1.82075202e-02  1.25418484e-01
 -2.33658612e-01  2.94385970e-01  1.88741088e-02  5.95638901e-03
 -5.22861630e-03 -4.75787669e-02 -5.99224530e-02  3.29801738e-02
  2.22943857e-01 -3.17082196e-01  1.70309275e-01  1.55399591e-01
  1.31792188e-01  1.11172117e-01  7.10372925e-02  4.28577587e-02
 -5.19362092e-03 -6.24566823e-02 -1.16325617e-01 -9.90126207e-02
  1.01129830e-01 -5.47602549e-02  1.28367513e-01  1.95424631e-02]",['7293863025751133442.mp4_scene_6'],1,['7293863025751133442'],1
face_20,"[-0.17226698  0.19339392  0.08918003 -0.02213971 -0.1075322  -0.00166009
 -0.05671775 -0.02215827  0.16789964 -0.05550628  0.22823872 -0.06671528
 -0.23026183 -0.01526146 -0.00878902  0.17135243 -0.16367185 -0.06882903
 -0.11494163 -0.07959685  0.00576532  0.04345898 -0.04165529  0.0478689
 -0.13038675 -0.3867583  -0.03709742 -0.00572727  0.03501762 -0.0702548
 -0.01027319  0.05094364 -0.19601509 -0.07378776  0.04822082  0.07160596
 -0.02643792 -0.05856584  0.13468984  0.07171414 -0.11917629  0.03838541
  0.05625943  0.2973817   0.1262207   0.04611612  0.08406741 -0.12361708
  0.15569724 -0.26064444  0.07889271  0.14895296  0.06109907  0.05692089
  0.11656669 -0.1674522   0.01752305  0.226321   -0.18200001  0.18729123
  0.10001937 -0.00911696 -0.03884836 -0.04450652  0.16468769  0.10127451
 -0.09994577 -0.14906566  0.17538446 -0.04180886 -0.00482958  0.11529158
 -0.06294228 -0.25463068 -0.28037512  0.12366004  0.49014074  0.20504385
 -0.19382791 -0.0675425  -0.07381147 -0.07834221  0.09420475  0.07372989
 -0.10333888 -0.11837129 -0.11230277  0.08410038  0.26320583  0.11645492
 -0.04611428  0.2850067   0.07395907 -0.01571644 -0.06253573  0.04302112
 -0.16858728 -0.03022298 -0.14355974 -0.10940827  0.04400785 -0.08131719
 -0.05592297  0.11856364 -0.22103906  0.17788422  0.01938933 -0.00829249
 -0.04565578  0.03193513 -0.08845611  0.06928305  0.14322096 -0.23445287
  0.16356477  0.17301983  0.14869842  0.14637026  0.08724179 -0.01002168
  0.09837921 -0.09773154 -0.10531195 -0.10124919  0.02053105 -0.05188867
  0.04468894  0.04599884]",['7293863025751133442.mp4_scene_7'],1,['7293863025751133442'],1
face_22,"[-7.80056864e-02  5.10034822e-02  1.64775793e-02 -8.45397562e-02
 -1.16886422e-01 -5.73579259e-02  3.98721881e-02 -6.00333475e-02
  1.58960193e-01 -5.48826419e-02  2.01947853e-01  3.05699911e-02
 -3.19612145e-01 -3.79986502e-02 -2.11036354e-02  8.79392773e-02
 -1.09445311e-01 -9.30762440e-02 -7.75433853e-02 -4.62398082e-02
  5.89945167e-02  1.98651832e-02 -1.98858380e-02  5.60727902e-02
 -6.00765273e-02 -2.64951378e-01 -4.54365984e-02 -1.10199541e-01
  1.58395663e-01 -1.22569829e-01  1.87540893e-02  2.97052413e-02
 -1.36358112e-01 -6.00507446e-02  1.21991709e-02  5.81297353e-02
 -4.11389023e-02 -1.38721958e-01  2.50115305e-01  2.81303301e-02
 -1.42897591e-01  8.42270255e-03 -2.88161486e-02  2.90471107e-01
  5.49641550e-02 -5.70938690e-03  1.12761296e-01 -1.07894912e-01
  1.87047169e-01 -2.77136505e-01  6.43885583e-02  1.10445559e-01
  1.27385825e-01 -2.76691467e-03  8.82019997e-02 -2.82516241e-01
  1.18535668e-01  1.02080345e-01 -3.39477837e-01  1.68671578e-01
  1.20863371e-01 -4.44004834e-02 -7.42983744e-02 -3.80765796e-02
  2.06325620e-01  3.52578759e-02 -1.38193220e-01 -1.08907260e-01
  1.82330564e-01 -1.54564887e-01  4.67125624e-02  1.00135036e-01
 -9.22581404e-02 -1.63060367e-01 -2.04900235e-01  7.20203519e-02
  3.89152944e-01  1.84888467e-01 -1.60516888e-01  4.25776280e-02
 -1.27113029e-01 -1.03082955e-02  6.08214065e-02  2.13934630e-02
 -1.10900775e-01 -2.18509883e-02 -1.73983604e-01  1.78784728e-02
  1.41193166e-01  1.36206001e-02  8.71566497e-03  2.47128233e-01
  8.28995034e-02 -6.21391833e-03  1.57663822e-02  4.26609591e-02
 -1.98524952e-01 -5.58456294e-02 -3.58116701e-02 -3.07407975e-03
  9.62129086e-02 -2.09887177e-01  3.27626020e-02  9.46213380e-02
 -2.18551382e-01  1.85430408e-01 -5.07043079e-02 -1.80307813e-02
  3.98005545e-03 -4.33437377e-02 -1.12718657e-01  4.30755317e-03
  1.52783260e-01 -2.73026913e-01  2.15327144e-01  1.57979295e-01
  1.01545297e-01  1.22318447e-01  4.76676375e-02  2.69180834e-02
 -9.85115767e-03 -5.03500476e-02 -1.70119449e-01 -1.06461674e-01
  2.17840075e-04 -7.99038410e-02  4.14914042e-02  3.34302187e-02]",['7293863025751133442.mp4_scene_9'],1,['7293863025751133442'],1
face_37,"[-3.60558480e-02  1.59947246e-01  1.35360658e-03 -2.38386504e-02
 -9.37639251e-02  7.98854083e-02 -5.66441007e-02 -1.53750516e-02
  2.17741162e-01 -4.15903032e-02  2.09674925e-01 -1.22509897e-04
 -2.22683042e-01 -2.34412439e-02  3.71562690e-02  1.46514416e-01
 -8.55729952e-02 -1.08097926e-01 -9.29450691e-02 -1.56657845e-02
 -8.97454470e-03  1.87158287e-02  1.58096664e-02  4.88298386e-02
 -1.56474084e-01 -3.95244092e-01 -8.61012936e-03 -1.33809820e-01
  8.07463229e-02 -7.21592158e-02 -7.92372823e-02  3.00630480e-02
 -1.45366669e-01 -8.16150755e-02  6.21166304e-02  1.50667012e-01
 -1.10024646e-01 -5.84186502e-02  2.47794479e-01  3.42745110e-02
 -2.16558248e-01  7.38583356e-02  2.41568834e-02  2.68631786e-01
  1.27176881e-01  2.94943433e-02  1.65383473e-01 -1.18164301e-01
  1.35203674e-01 -2.30119780e-01  1.23920113e-01  1.45373046e-01
  1.43020377e-01  1.26132280e-01  1.28918663e-02 -1.59919977e-01
  4.47391272e-02  1.21401623e-01 -2.35884354e-01  1.30089149e-01
  1.89415067e-01  3.82317603e-03 -6.44663423e-02  2.96981484e-02
  2.20762298e-01  1.20535657e-01 -1.12596199e-01 -1.73317671e-01
  1.47335827e-01 -1.51649743e-01 -3.38382423e-02  1.27286181e-01
 -8.84147286e-02 -2.24523336e-01 -2.32941717e-01  1.10065833e-01
  3.76560420e-01  1.84475318e-01 -1.71078384e-01 -6.09513260e-02
 -9.18989033e-02 -1.48204118e-02  5.43446541e-02  4.42279726e-02
 -7.55313560e-02 -6.08497858e-02 -1.03694074e-01  4.30616140e-02
  2.95895815e-01  6.78822398e-04  3.08660418e-03  2.17785776e-01
  1.19669244e-01  1.33642182e-02 -2.11962257e-02  1.57403722e-01
 -1.24373958e-01 -1.96529925e-03 -1.23963073e-01 -2.60684937e-02
  8.89035761e-02 -8.40416998e-02  1.74404085e-02  1.00313641e-01
 -2.73456007e-01  2.46780619e-01 -4.47234660e-02 -2.02597640e-02
  6.94368780e-02  6.21965975e-02 -9.52664763e-02 -4.44350094e-02
  2.09597006e-01 -2.13885188e-01  1.90306813e-01  1.88092381e-01
  1.34685978e-01  1.00483805e-01  1.16028950e-01  5.80974296e-02
  5.16415164e-02 -8.27085748e-02 -2.24849090e-01 -1.21110514e-01
 -4.64126468e-03 -3.55139375e-04  1.19112432e-02  6.47131875e-02]",['7293266381401754881.mp4_scene_13'],1,['7293266381401754881'],1
face_45,"[-0.0722734   0.04992203  0.07543677 -0.08310574 -0.15517792  0.00096614
 -0.05993554 -0.01595641  0.19307038 -0.07536887  0.11185942  0.03807631
 -0.14727443  0.07310093 -0.05562482  0.07152569 -0.14216043 -0.08388528
 -0.1388166  -0.16956937 -0.08832178  0.04746006 -0.00669779  0.00171848
 -0.13753465 -0.30365834 -0.07933834 -0.147695    0.1007067  -0.12802401
  0.02310435 -0.04946233 -0.09628573  0.0046782   0.03710939  0.08061144
 -0.00652837  0.00146823  0.19528504  0.01070346 -0.10316703  0.04970689
  0.0772244   0.24047986  0.11855061  0.05464515  0.09300593 -0.06878725
  0.19262519 -0.20404603  0.10087182  0.07656146  0.12810564  0.05997853
  0.1492718  -0.15328497 -0.02007657  0.13562627 -0.15822102  0.20304516
  0.08146486  0.01995045 -0.16766727 -0.0136073   0.21885736  0.14419088
 -0.14801505 -0.21215926  0.13973349 -0.22260261 -0.02297638  0.09508681
 -0.03414271 -0.07310369 -0.17992309  0.05772956  0.44816697  0.0811135
 -0.18979727 -0.05067972 -0.07690537 -0.07049211  0.00438575  0.05210678
 -0.1530569  -0.00187166 -0.05304454  0.03500544  0.19726442  0.00565752
  0.04381972  0.13384825  0.05981843  0.07240084 -0.05291593  0.07444766
 -0.20408885 -0.0268667  -0.03542438 -0.00652033  0.09807    -0.07858497
  0.00737543  0.03783629 -0.18461946  0.23146969 -0.06244139 -0.06220743
  0.00594464  0.11982049 -0.06262285 -0.04981609  0.25229457 -0.26601505
  0.16549018  0.19725884 -0.01021476  0.09486084  0.00648814  0.06534503
  0.03907174  0.08800119 -0.11345052 -0.09548756 -0.12069015 -0.14428076
 -0.06303048  0.03166954]",['7292167138092076289.mp4_scene_3'],1,['7292167138092076289'],1
face_4,"[-0.12825239  0.13546689  0.05583126 -0.08574526 -0.03047887 -0.03060316
 -0.03307773 -0.06239089  0.12985212 -0.05134308  0.24578039 -0.01554899
 -0.23025303 -0.14463519 -0.05112082  0.04404858 -0.14069714 -0.0807578
 -0.168097   -0.07615382  0.09228028  0.05228488  0.11103187  0.03600781
 -0.16528961 -0.38819718 -0.04099793 -0.09339008  0.01233024 -0.17816737
  0.06961726  0.06677264 -0.22077441 -0.09989981 -0.07035075  0.04956134
  0.01688672  0.0176511   0.20749804  0.00434203 -0.16151418  0.04115835
  0.05183409  0.28551745  0.21199706 -0.01416206  0.00799401 -0.0209929
  0.113691   -0.24135649  0.06571636  0.15829685  0.12912729  0.0459856
  0.12687546 -0.07099912 -0.02241576  0.14929061 -0.1940167   0.07514664
  0.02110447 -0.01703871 -0.00690469 -0.01747759  0.09900497  0.07965057
 -0.10824452 -0.14004238  0.05774158 -0.14677021  0.02336001  0.13848323
 -0.09432177 -0.16764691 -0.266045    0.08745117  0.31306332  0.12505242
 -0.17276281 -0.01901692 -0.14265029 -0.07243909  0.02870069 -0.02691934
 -0.09715884  0.01284529 -0.09056167  0.09779504  0.11280653  0.04666178
 -0.07343     0.2877928   0.02762805  0.01053425  0.04937001  0.05977487
 -0.17520323  0.02883337 -0.13587394  0.06350821  0.01722462 -0.08565848
 -0.00050974  0.03520583 -0.08793673  0.11234756 -0.02234571  0.01024561
 -0.01627637  0.03682408 -0.14443932 -0.0992606   0.12377996 -0.24008551
  0.15460837  0.16108088 -0.00609901  0.1221166   0.12989512  0.04083284
  0.03264323  0.03356448 -0.05004778 -0.0418347   0.07446407 -0.01639266
  0.05171233 -0.02365032]",['7296082692251208961.mp4_scene_1'],1,['7296082692251208961'],1
face_89,"[-0.01706177  0.06880262  0.05678533 -0.08051454 -0.0722073  -0.00705433
 -0.05001878 -0.03621748  0.1775822  -0.07363112  0.21512537  0.02367165
 -0.25520027 -0.01254327 -0.08149584  0.08242824 -0.2123524  -0.02763887
 -0.19549805 -0.12249249  0.05143729  0.08673047  0.00768597 -0.05565261
 -0.18126154 -0.30267227 -0.05821199 -0.10310617  0.04220872 -0.18691304
  0.03509554  0.02829859 -0.1349735  -0.02142192 -0.03339615 -0.00657797
 -0.0181626   0.00430392  0.12974864  0.06019493 -0.15113476  0.1071557
  0.04350623  0.23492646  0.24223253  0.00992356  0.0553133  -0.1529841
  0.1409969  -0.30775797  0.08908487  0.08538183  0.07849273  0.11074071
  0.19229126 -0.18014637 -0.07058844  0.14484227 -0.1048857   0.18345572
  0.0659701  -0.06038028 -0.08760519 -0.04943065  0.10972689  0.0647437
 -0.15478618 -0.15548152  0.14841354 -0.15050302 -0.09423208  0.10340249
 -0.01075587 -0.12826835 -0.33306766  0.04897338  0.37994182  0.11468294
 -0.27107608 -0.03001764 -0.11738139 -0.03456707  0.04918117  0.04469298
 -0.08454299 -0.02380349 -0.10444707  0.0433027   0.17218342 -0.00671534
 -0.01670452  0.25324625  0.02571088  0.0456013   0.02309392  0.13475177
 -0.23088907 -0.05968201 -0.13003834 -0.04924225  0.10725766 -0.1153321
 -0.05875726  0.07891051 -0.11609501  0.27620405 -0.02871884 -0.04281157
 -0.00445733 -0.0132511  -0.02105035  0.07503466  0.20925553 -0.27559185
  0.21891783  0.17737037  0.05413458  0.13404322  0.05503928  0.03976254
 -0.05421473  0.01418121 -0.14870834 -0.10765682 -0.0788947  -0.0465277
 -0.0291131   0.02903158]",['7287823285566426369.mp4_scene_11'],1,['7287823285566426369'],1
face_72,"[-0.12691589  0.10281576  0.04535545 -0.03290746 -0.0066024  -0.03633565
  0.03467397 -0.14633633  0.14797164 -0.02261762  0.2882227  -0.08538608
 -0.17605172 -0.12930973 -0.03564183  0.11080252 -0.13952875 -0.11141225
 -0.11481998 -0.11861828 -0.00896109  0.01937217  0.07391731  0.03422084
 -0.14632323 -0.34315667 -0.03257199 -0.18208656  0.11439766 -0.05439584
  0.04238506  0.07982184 -0.22826812 -0.05320004  0.02559572  0.05939082
  0.02908782 -0.01224749  0.2415601   0.00051817 -0.11313631 -0.01084514
 -0.01487081  0.28267097  0.12586881  0.04198847 -0.01859262 -0.00293459
  0.08858398 -0.22141829  0.11038888  0.11712417  0.11346868 -0.00340605
  0.07201275 -0.13049847  0.03547698  0.01922431 -0.25044164  0.05144877
  0.08327399 -0.0415888  -0.08619544 -0.03628064  0.22211091  0.14982307
 -0.09844647 -0.04574668  0.15302908 -0.13566175  0.05998031  0.00721532
 -0.10300783 -0.1262081  -0.26147005  0.07961066  0.37906009  0.12866639
 -0.22376481  0.00583316 -0.05466471  0.04974371  0.11541165  0.0024996
 -0.13815323  0.01954186 -0.05835422 -0.00401731  0.10706803  0.02045702
 -0.101252    0.24289176 -0.07486574 -0.00814142  0.07051438 -0.0471441
 -0.0454506  -0.05498493 -0.06416618  0.05183703  0.068296   -0.08754703
  0.00923666  0.07292696 -0.18126506  0.08828564 -0.02596606  0.00231852
  0.03993373  0.0616338  -0.11338191 -0.08710489  0.15749088 -0.23389344
  0.23739289  0.13854057 -0.03649097  0.15150738  0.07823114  0.06633426
  0.00709431  0.06654695 -0.09918359 -0.11196983  0.06962316 -0.06186217
  0.06198974  0.0278035 ]",['7289766656803474690.mp4_scene_9'],1,['7289766656803474690'],1
face_38,"[-0.19347848  0.0303629   0.04341068 -0.04281481 -0.12092673  0.01906661
 -0.03813667 -0.04255465  0.15251818 -0.14950725  0.20322879 -0.04282653
 -0.13960463 -0.08901346 -0.00091106  0.11751139 -0.1052349  -0.10402194
 -0.09500647 -0.13274539 -0.04831437  0.08150049 -0.06395     0.05670106
 -0.18279935 -0.31640249 -0.07575799 -0.12321797  0.1271821  -0.10340786
 -0.00211382  0.03567926 -0.13620906 -0.05698065  0.08392192  0.15952264
 -0.01467051 -0.02997867  0.2329929  -0.05979947 -0.09534252  0.04865818
  0.07851795  0.31823763  0.1274416   0.01378185  0.06545545 -0.06964719
  0.21729288 -0.24430767  0.14473785  0.03516906  0.15791291  0.05588897
  0.12901816 -0.1389069  -0.00607473  0.20522794 -0.20087653  0.19787367
  0.05479597 -0.09705278 -0.08799332 -0.01712179  0.22395468  0.09962758
 -0.09590708 -0.22539082  0.22379544 -0.16586471  0.00438392  0.17527016
 -0.0498912  -0.11765905 -0.25631633  0.10817628  0.49579415  0.20246522
 -0.15449917  0.02542386 -0.045446   -0.07368477  0.06409068  0.07746559
 -0.05875283 -0.11833838 -0.04358019  0.10996018  0.25446764  0.07382949
 -0.03608814  0.17003894  0.07906799  0.02806022 -0.04212611 -0.02572086
 -0.13083369 -0.04964245 -0.00526881 -0.02985301  0.10200536 -0.02292588
  0.08188061  0.13646966 -0.20026636  0.26964119 -0.06984603 -0.00106729
  0.04657569  0.06328678 -0.04118887  0.07099473  0.17650329 -0.31605592
  0.17384142  0.09147637  0.08520852  0.15938985  0.02275347  0.01974948
  0.0901444  -0.00572863 -0.20253836 -0.09038033  0.00513907 -0.11493753
  0.109207    0.07626706]",['7293266381401754881.mp4_scene_14'],1,['7293266381401754881'],1
face_30,"[-1.51046947e-01  1.02291450e-01  1.05354935e-01 -1.07743144e-02
 -1.32987335e-01  8.06823224e-02  4.89417389e-02 -7.07967207e-02
  2.04614937e-01 -1.35287419e-01  2.22854838e-01  4.19284031e-02
 -2.30577558e-01  2.28208154e-02  2.16201469e-02  1.28503427e-01
 -1.33702397e-01 -5.57761788e-02 -1.50076210e-01 -5.76087981e-02
  7.44374469e-03  4.83661257e-02  2.08192207e-02  2.96593532e-02
 -1.89603195e-01 -3.47099632e-01 -1.79511532e-02 -6.30191267e-02
  5.04038259e-02 -7.08433241e-02 -4.21205498e-02  3.43702659e-02
 -1.21721089e-01 -4.97600436e-03 -3.47096473e-02  8.61500427e-02
 -3.17564234e-02 -3.14976797e-02  1.44025996e-01 -4.81874682e-04
 -2.38012940e-01  1.25976786e-01  5.75648993e-03  2.92649508e-01
  2.00178295e-01  4.90223579e-02  5.09324558e-02 -8.14362466e-02
  1.23406306e-01 -2.66703039e-01  6.58752471e-02  7.94150531e-02
  7.45090991e-02 -2.00373009e-02  8.88349786e-02 -1.47488207e-01
 -2.31529474e-02  1.17549375e-01 -1.63658649e-01  9.43895876e-02
  9.44461972e-02 -5.38343862e-02  2.07029153e-02 -4.04608846e-02
  2.02213228e-01  7.56805018e-02 -1.30203441e-01 -6.60969317e-02
  8.85858089e-02 -1.68392271e-01 -2.28525922e-02  3.19325849e-02
 -1.16297767e-01 -2.23570704e-01 -2.39154994e-01  1.18074492e-01
  4.86814380e-01  2.05126822e-01 -1.77149564e-01  4.03029509e-02
 -5.87639622e-02 -3.49721685e-02  8.86866450e-02  1.66862741e-01
 -7.33674616e-02 -4.80002016e-02 -7.29324445e-02  6.56254292e-02
  2.30621338e-01  1.77463740e-02  1.28925443e-02  3.17145526e-01
  7.61723816e-02 -6.16005361e-02 -3.19085121e-02 -1.12725347e-02
 -1.62604749e-01 -2.03992799e-03 -8.28108862e-02 -6.41501769e-02
  5.31057119e-02 -7.88532495e-02  5.29378578e-02  8.83980691e-02
 -2.84535557e-01  2.54620999e-01 -6.22539744e-02  1.61100850e-02
  1.16189949e-01  2.10706890e-02 -4.66413982e-02  5.20303845e-04
  1.65240198e-01 -2.43022382e-01  1.29088163e-01  1.97237238e-01
  8.10382366e-02  1.58839330e-01  8.64661857e-02  4.61170450e-02
  7.17368573e-02  1.18534952e-01 -1.63477689e-01 -4.60665785e-02
  7.91545957e-02 -1.54257774e-01  1.19193301e-01  6.09960444e-02]",['7293266381401754881.mp4_scene_5'],1,['7293266381401754881'],1
face_31,"[-1.67696536e-01  7.47514516e-02  3.75422463e-02  5.39593250e-02
 -5.17589822e-02 -4.17872816e-02  1.41122937e-03 -4.28976417e-02
  2.08518490e-01 -6.27963245e-02  6.85775578e-02  2.59362888e-02
 -2.03348786e-01 -9.29593146e-02 -6.36950135e-05  1.03151746e-01
 -8.52567479e-02 -8.95503387e-02 -1.22912630e-01 -1.04990877e-01
  7.68487081e-02  4.25597727e-02  2.36166380e-02  5.71909845e-02
 -1.50472179e-01 -3.65165502e-01 -3.19392383e-02 -1.86418667e-01
 -9.01440531e-03 -9.59741026e-02 -2.51374766e-03 -2.74941623e-02
 -1.37185887e-01 -8.94373357e-02 -1.39684826e-02  9.36878622e-02
 -8.78860056e-03 -3.36552933e-02  1.97089136e-01 -1.09993331e-02
 -1.35337740e-01  1.48725659e-02  4.67544571e-02  2.60165513e-01
  1.43838063e-01  7.35752434e-02  5.40783331e-02 -6.41689450e-02
  2.55083859e-01 -2.49610513e-01  4.69320044e-02  8.37085098e-02
  1.04848370e-01  4.14818823e-02  1.86212376e-01 -1.40887603e-01
  6.09552264e-02  1.18892565e-01 -2.88233906e-01  1.47671610e-01
 -3.26387584e-04 -2.89977398e-02 -7.80133083e-02 -8.26818496e-03
  1.93803310e-01  1.08257577e-01 -8.79950821e-02 -8.69646817e-02
  1.17896251e-01 -2.42276162e-01  1.33648515e-03  4.60441038e-02
 -4.07069959e-02 -2.12033495e-01 -2.70132184e-01  4.97044027e-02
  4.32817757e-01  2.13438749e-01 -1.89008474e-01  3.59386019e-02
 -5.15834093e-02 -6.89303726e-02  8.59185681e-02  9.09711495e-02
 -1.01619706e-01  1.97053254e-02 -8.74241814e-02  7.60412216e-03
  1.71981722e-01  7.41390586e-02  4.80952859e-03  2.45778039e-01
  5.52241951e-02  2.61779577e-02 -1.21608172e-02 -2.88746804e-02
 -2.10944489e-01 -2.07331181e-02 -6.64824545e-02 -5.76010048e-02
  9.65410322e-02 -8.27431083e-02  6.11772090e-02  8.93271714e-03
 -2.09864780e-01  1.71413630e-01 -6.26972988e-02  3.44383717e-03
 -7.79871643e-03  2.69045234e-02 -1.36624187e-01  2.52459198e-02
  1.55842572e-01 -2.10320637e-01  1.75387323e-01  1.39340490e-01
 -1.05741322e-02  1.76935598e-01  3.40769365e-02  4.59946617e-02
  1.35385096e-02  4.55254614e-02 -1.59296110e-01 -7.34203160e-02
  5.06297685e-02 -7.48164132e-02  7.87249804e-02  3.30598876e-02]",['7293266381401754881.mp4_scene_6'],1,['7293266381401754881'],1
